date,cash,stock_value,equity,drawdown,stock_weight,positions,risk_off_remaining_days
2025-08-20,74792.73999940022,4615515.0,4690307.7399994,-0.005334577195705514,0.9840537670137163,2,0
2025-08-21,74792.73999940022,4627857.0,4702649.7399994,-0.0027172306741631846,0.984095617548712,2,0
2025-08-22,74792.73999940022,4877955.0,4952747.7399994,0.0,0.984898738250818,2,0
2025-08-25,74792.73999940022,5157222.0,5232014.7399994,0.0,0.9857047918027446,2,0
2025-08-26,74792.73999940022,4961964.0,5036756.7399994,-0.03731984898804441,0.9851506149968622,2,0
2025-08-27,103503.79976485134,5016701.0,5120204.799764851,-0.021370341214780653,0.9797852226985911,2,0
2025-08-28,103503.79976485134,5591876.0,5695379.799764851,0.0,0.9818267080679809,2,0
2025-08-29,103503.79976485134,5885539.0,5989042.799764851,0.0,0.9827178059624294,2,0
2025-09-01,103503.79976485134,6366122.0,6469625.799764851,0.0,0.9840015786123808,2,0
2025-09-02,103503.79976485134,5854524.0,5958027.799764851,-0.07907690735661943,0.9826278420908113,2,0
2025-09-03,103503.79976485134,5951989.0,6055492.799764851,-0.06401189385869155,0.9829074522607193,2,0
2025-09-04,103503.79976485134,5303887.0,5407390.799764851,-0.16418801223999824,0.9808588275570258,2,0
2025-09-05,5459311.334775652,0.0,5459311.334775652,-0.156162735876613,0.0,0,0
2025-09-08,5459311.334775652,0.0,5459311.334775652,-0.156162735876613,0.0,0,0
2025-09-09,5459311.334775652,0.0,5459311.334775652,-0.156162735876613,0.0,0,0
2025-09-10,5459311.334775652,0.0,5459311.334775652,-0.156162735876613,0.0,0,0
2025-09-11,5459311.334775652,0.0,5459311.334775652,-0.156162735876613,0.0,0,0
2025-09-12,5459311.334775652,0.0,5459311.334775652,-0.156162735876613,0.0,0,0
2025-09-15,2732588.291694202,2688306.0,5420894.2916942015,-0.16210079848957681,0.49591559166150406,1,0
2025-09-16,2732588.291694202,2663208.0,5395796.2916942015,-0.1659801573237326,0.49357089408647625,1,0
2025-09-17,2732588.291694202,2627253.0,5359841.2916942015,-0.1715376657659221,0.49017365571463534,1,0
2025-09-18,2732588.291694202,2687460.0,5420048.2916942015,-0.16223156339409894,0.495836910552683,1,0
2025-09-19,111412.63483220199,5286453.0,5397865.6348322015,-0.1656603021725931,0.9793598725182672,2,0
2025-09-22,111412.63483220199,5458253.0,5569665.6348322015,-0.13910544331101193,0.9799965308266556,2,0
2025-09-23,111412.63483220199,5462629.0,5574041.6348322015,-0.13842905179542242,0.9800122349040266,2,0
2025-09-24,111412.63483220199,5710151.0,5821563.6348322015,-0.10016996113688748,0.9808620773007469,2,0
2025-09-25,111412.63483220199,5735082.0,5846494.6348322015,-0.096316415233057,0.9809436864666858,2,0
2025-09-26,111412.63483220199,5623863.0,5735275.6348322015,-0.11350736312436194,0.9805741446573978,2,0
2025-09-29,111412.63483220199,5755734.0,5867146.6348322015,-0.09312426770564497,0.9810107635335438,2,0
2025-09-30,111412.63483220199,6018299.0,6129711.6348322015,-0.052540003928048584,0.9818241637666775,2,0
2025-10-09,111412.63483220199,6491656.0,6603068.6348322015,0.0,0.9831271426977931,2,0
2025-10-10,111412.63483220199,6500111.0,6611523.6348322015,0.0,0.9831487201762035,2,0
2025-10-13,111412.63483220199,6360615.0,6472027.6348322015,-0.02109891875226433,0.9827855131160778,2,0
2025-10-14,111412.63483220199,5893141.0,6004553.6348322015,-0.09180485974552588,0.9814453094088625,2,0
2025-10-15,5990698.971507003,0.0,5990698.971507003,-0.09390039234745251,0.0,0,0
2025-10-16,5990698.971507003,0.0,5990698.971507003,-0.09390039234745251,0.0,0,0
2025-10-17,5990698.971507003,0.0,5990698.971507003,-0.09390039234745251,0.0,0,0
2025-10-20,5990698.971507003,0.0,5990698.971507003,-0.09390039234745251,0.0,0,0
2025-10-21,5990698.971507003,0.0,5990698.971507003,-0.09390039234745251,0.0,0,0
2025-10-22,5990698.971507003,0.0,5990698.971507003,-0.09390039234745251,0.0,0,0
2025-10-23,5990698.971507003,0.0,5990698.971507003,-0.09390039234745251,0.0,0,0
2025-10-24,5990698.971507003,0.0,5990698.971507003,-0.09390039234745251,0.0,0,0
2025-10-27,3018380.5724157025,2999206.0,6017586.572415702,-0.0898336140382826,0.49840678881932526,1,0
2025-10-28,134923.21864290256,6031499.0,6166422.218642903,-0.06732206383477524,0.9781196917987565,2,0
2025-10-29,134923.21864290256,6006350.0,6141273.218642903,-0.07112587690253847,0.9780300902045329,2,0
2025-10-30,134923.21864290256,5859619.0,5994542.218642903,-0.09331909711988162,0.9774923232297382,2,0
2025-10-31,134923.21864290256,5467551.0,5602474.218642903,-0.15261980020357413,0.9759172084730119,2,0
2025-11-03,134923.21864290256,5631831.0,5766754.218642903,-0.12777227502276622,0.9766032652810623,2,0
2025-11-04,134923.21864290256,5556568.0,5691491.218642903,-0.13915588402984647,0.976293872122485,2,0
2025-11-05,134923.21864290256,5471509.0,5606432.218642903,-0.1520211484829409,0.9759342103175267,2,0
2025-11-06,134923.21864290256,5695925.0,5830848.218642903,-0.11807798917580548,0.9768604474711734,2,0
2025-11-07,134923.21864290256,5579559.0,5714482.218642903,-0.13567847076327744,0.9763892486702068,2,0
2025-11-10,134923.21864290256,5554986.0,5689909.218642903,-0.13939516321682022,0.9762872809638459,2,0
2025-11-11,134923.21864290256,5401624.0,5536547.218642903,-0.16259132925516362,0.9756304401796515,2,0
2025-11-12,134923.21864290256,5450143.0,5585066.218642903,-0.15525277876668286,0.9758421452206726,2,0
2025-11-13,134923.21864290256,5606011.0,5740934.218642903,-0.1316775775560537,0.9764980378620682,2,0
2025-11-14,134923.21864290256,5234249.0,5369172.218642903,-0.18790697648634047,0.9748707597468339,2,0
2025-11-17,2663255.1226917026,2847517.0,5510772.122691702,-0.16648984000318656,0.5167183357618402,1,0
2025-11-18,2663255.1226917026,2786865.0,5450120.122691702,-0.17566351967975313,0.5113401057706641,1,0
2025-11-19,2663255.1226917026,2879318.0,5542573.122691702,-0.16167990484202954,0.5194912067486959,1,0
2025-11-20,2663255.1226917026,2899378.0,5562633.122691702,-0.15864580845094722,0.5212240203605267,1,0
2025-11-21,2663255.1226917026,2734414.0,5397669.122691702,-0.183596789361142,0.506591630173212,1,0
2025-11-24,2663255.1226917026,2691934.0,5355189.122691702,-0.19002193465990458,0.5026776717545582,1,0
2025-11-25,2663255.1226917026,2826631.0,5489886.122691702,-0.1696488697750781,0.5148797145930775,1,0
2025-11-26,2663255.1226917026,3201222.0000000005,5864477.122691703,-0.11299158157807276,0.5458665679866597,1,0
2025-11-27,2663255.1226917026,3087942.0,5751197.122691702,-0.13012530237477316,0.5369216067758024,1,0
2025-11-28,2663255.1226917026,3031951.0,5695206.122691702,-0.13859400083105888,0.5323689669316167,1,0
2025-12-01,2663255.1226917026,3170424.0,5833679.122691702,-0.11764981191967572,0.543469041289529,1,0
2025-12-02,2663255.1226917026,3194024.0,5857279.122691702,-0.11408028675369652,0.545308484211726,1,0
2025-12-03,2663255.1226917026,3086349.0,5749604.122691702,-0.13036624532347674,0.5367933050936927,1,0
2025-12-04,2663255.1226917026,3155733.0,5818988.122691702,-0.11987184133549778,0.5423164532152792,1,0
2025-12-05,129020.97646050295,5772526.0,5901546.976460503,-0.10738472666591581,0.9781377701516011,2,0
2025-12-08,129020.97646050295,6467359.0,6596379.976460503,-0.0022904944772359492,0.9804406391201052,2,0
2025-12-09,129020.97646050295,6721968.0,6850988.976460503,0.0,0.9811675399122944,2,0
2025-12-10,129020.97646050295,6718165.0,6847185.976460503,-0.0005551023382268649,0.9811570801634341,2,0
2025-12-11,129020.97646050295,6340468.0,6469488.976460503,-0.055685391015925734,0.9800570065224701,2,0
2025-12-12,129020.97646050295,6252657.0,6381677.976460503,-0.06850266459521659,0.9797825937102419,2,0
2025-12-15,125299.11896050295,6118256.0,6243555.118960503,-0.088663674629619,0.9799314466560898,3,0
2025-12-16,125299.11896050295,5870480.0,5995779.118960503,-0.12483013188875935,0.9791021122568928,3,0
2025-12-17,2762818.937741303,3480563.0,6243381.937741303,-0.08868895290984902,0.5574803903890556,2,0
2025-12-18,125062.02399410354,5932796.0,6057858.023994103,-0.11576882625144203,0.9793554052441054,2,0
2025-12-19,125062.02399410354,5912679.0,6037741.023994103,-0.11870519063169727,0.9792866200293944,2,0
2025-12-22,125062.02399410354,6335685.0,6460747.023994103,-0.056961404230432056,0.9806427919976368,2,0
2025-12-23,125062.02399410354,6396178.0,6521240.023994103,-0.04813158415513341,0.9808223553290552,2,0
2025-12-24,125062.02399410354,6449956.0,6575018.023994103,-0.040281914540311825,0.9809792119903373,2,0
2025-12-25,125062.02399410354,6479660.0,6604722.023994103,-0.03594619015043754,0.981064755861069,2,0
2025-12-26,125062.02399410354,6373502.0,6498564.023994103,-0.05144147124996212,0.9807554371192856,2,0
2025-12-29,125062.02399410354,6275026.0,6400088.023994103,-0.06581545438412806,0.9804593275084277,2,0
2025-12-30,125062.02399410354,6372187.0,6497249.023994103,-0.05163341434088198,0.9807515421477223,2,0
2025-12-31,125062.02399410354,6220196.0,6345258.023994103,-0.07381867847168555,0.9802904746314192,2,0
2026-01-05,125062.02399410354,6401142.0,6526204.023994103,-0.047407017232451776,0.9808369423428531,2,0
2026-01-06,125062.02399410354,6379503.0,6504565.023994103,-0.05056553931945995,0.9807731918225472,2,0
2026-01-07,125062.02399410354,6781455.0,6906517.023994103,0.0,0.9818921717618849,2,0
2026-01-08,125062.02399410354,6688776.0,6813838.023994103,-0.013419064874237163,0.9816458765891246,2,0
2026-01-09,125062.02399410354,6579513.0,6704575.023994103,-0.029239340075240317,0.9813467634344406,2,0
2026-01-12,125062.02399410354,6629799.0,6754861.023994103,-0.02195839081741613,0.9814856258996496,2,0
2026-01-13,125062.02399410354,6486971.0,6612033.023994103,-0.04263856861235926,0.9810856927755395,2,0
2026-01-14,125062.02399410354,6559685.0,6684747.023994103,-0.0321102516984384,0.9812914350318407,2,0
2026-01-15,125062.02399410354,6941990.0,7067052.023994103,0.0,0.9823035087941208,2,0
2026-01-16,125062.02399410354,6996785.0,7121847.023994103,0.0,0.9824396643774068,2,0
2026-01-19,125062.02399410354,6877268.0,7002330.023994103,-0.016781742095461682,0.9821399414815402,2,0
2026-01-20,125062.02399410354,6727836.0,6852898.023994103,-0.03776393948000967,0.9817504910249325,2,0
2026-01-21,125062.02399410354,6672499.0,6797561.023994103,-0.045533974389993626,0.9816019269922465,2,0
2026-01-22,125062.02399410354,6893167.0,7018229.023994103,-0.014549315599015622,0.9821804014137273,2,0
2026-01-23,125062.02399410354,6755796.0,6880858.023994103,-0.033837991631677555,0.9818246469324027,2,0
2026-01-26,125062.02399410354,6617695.0,6742757.023994103,-0.05322916916395615,0.9814523905356415,2,0
2026-01-27,125062.02399410354,6892762.0,7017824.023994103,-0.014606182869350892,0.9821793730412001,2,0
2026-01-28,125062.02399410354,6955378.0,7080440.023994103,-0.005814081636476676,0.9823369700795015,2,0
2026-01-29,125062.02399410354,6675533.0,6800595.023994103,-0.04510796130802519,0.9816101350612917,2,0
2026-01-30,3149892.8384009036,3824557.0,6974449.838400904,-0.020696482962440088,0.5483668373299092,1,0
2026-02-02,137425.33969205339,6356784.0,6494209.339692053,-0.08812849843411208,0.9788387881412874,2,0
2026-02-03,137425.33969205339,6728857.0,6866282.339692053,-0.03588460738359456,0.9799854808041265,2,0
2026-02-04,137425.33969205339,6513641.0,6651066.339692053,-0.06610373442675055,0.9793378485985127,2,0
2026-02-05,137425.33969205339,6347425.0,6484850.339692053,-0.08944262382440316,0.9788082480715231,2,0
