date,nav,cash,position_value,close,drawdown,daily_return,peak,dd,daily_ret,month
2025-11-05,3125115.4037412014,1256841.71676,1868273.6869812014,107.9926986694336,0.2163637287303739,-0.009339884772745282,3987966.7625363674,0.2163637287303739,-0.009339884772745277,2025-11
2025-11-06,3171591.071313223,1256841.71676,1914749.354553223,110.67915344238281,0.20470975307324912,0.014871664424418885,3987966.7625363674,0.20470975307324912,0.014871664424418896,2025-11
2025-11-07,3414201.687615713,1256841.71676,2157359.970855713,124.70288848876953,0.14387408649206915,0.07649492347764598,3987966.7625363674,0.14387408649206915,0.07649492347764597,2025-11
2025-11-10,3475840.4609616604,1256841.71676,2218998.74420166,128.2658233642578,0.12841789615342533,0.01805364152022089,3987966.7625363674,0.12841789615342533,0.01805364152022082,2025-11
2025-11-11,3298074.091332754,1256841.71676,2041232.3745727541,117.99031066894531,0.17299358602598733,-0.05114342031098966,3987966.7625363674,0.17299358602598733,-0.05114342031098962,2025-11
2025-11-12,3278596.280663809,1256841.71676,2021754.5639038088,116.86442565917969,0.1778777317144427,-0.005905813553471237,3987966.7625363674,0.1778777317144427,-0.005905813553471195,2025-11
2025-11-13,3263063.211053213,1256841.71676,2006221.4942932131,115.96656036376953,0.1817727164361099,-0.004737719524116206,3987966.7625363674,0.1817727164361099,-0.0047377195241161685,2025-11
2025-11-14,3173440.362542471,1256841.71676,1916598.645782471,110.78604888916016,0.20424603525929427,-0.02746586342770074,3987966.7625363674,0.20424603525929427,-0.027465863427700743,2025-11
2025-11-17,3117102.3803647365,1256841.71676,1860260.6636047366,107.5295181274414,0.21837302917182705,-0.017752967045707446,3987966.7625363674,0.21837302917182705,-0.01775296704570739,2025-11
2025-11-18,3138059.51842626,1256841.71676,1881217.80166626,108.74091339111328,0.21311793570956494,0.006723275498917432,3987966.7625363674,0.21311793570956494,0.006723275498917491,2025-11
2025-11-19,3145579.564660391,1256841.71676,1888737.8479003909,109.17559814453125,0.21123225142935093,0.002396400128797484,3987966.7625363674,0.21123225142935093,0.0023964001287974934,2025-11
2025-11-20,3230271.3218625393,1256841.71676,1973429.6051025393,114.07107543945312,0.18999542518552234,0.026924054998841554,3987966.7625363674,0.18999542518552234,0.02692405499884165,2025-11
2025-11-21,3085419.9867184963,1256841.71676,1828578.2699584963,105.69816589355469,0.22631752709088446,-0.04484184785460166,3987966.7625363674,0.22631752709088446,-0.04484184785460166,2025-11
2025-11-24,3034629.48226293,1256841.71676,1777787.76550293,102.76229858398438,0.23905346685164197,-0.016461455709173886,3987966.7625363674,0.23905346685164197,-0.0164614557091739,2025-11
2025-11-25,3078023.3497556057,1256841.71676,1821181.6329956057,105.27061462402344,0.22817226595991813,0.014299560373451878,3987966.7625363674,0.22817226595991813,0.014299560373451925,2025-11
2025-11-26,3191685.2683957424,1256841.71676,1934843.5516357424,111.84066772460938,0.1996710458123743,0.03692691891020302,3987966.7625363674,0.1996710458123743,0.036926918910203055,2025-11
2025-11-27,3168755.6938107815,1256841.71676,1911913.9770507815,110.5152587890625,0.20542073630637872,-0.007184159043503114,3987966.7625363674,0.20542073630637872,-0.007184159043503113,2025-11
2025-11-28,3204629.5150693264,1256841.71676,1947787.7983093264,112.5888900756836,0.1964252196948689,0.01132110668191105,3987966.7625363674,0.1964252196948689,0.011321106681910997,2025-11
2025-12-01,3208574.3881162014,1256841.71676,1951732.6713562014,112.8169174194336,0.19543602563138426,0.001230991922256467,3987966.7625363674,0.19543602563138426,0.001230991922256397,2025-12
2025-12-02,3253694.0055783596,1256841.71676,1996852.2888183596,115.42498779296875,0.18412208543358233,0.014062200841990937,3987966.7625363674,0.18412208543358233,0.014062200841990835,2025-12
2025-12-03,3395093.7087949123,1256841.71676,2138251.992034912,123.59838104248047,0.14866549523707284,0.043458205649986516,3987966.7625363674,0.14866549523707284,0.04345820564998659,2025-12
2025-12-04,3563614.15023168,1256841.71676,2306772.4334716797,133.33944702148438,0.10640826204749938,0.04963646246353061,3987966.7625363674,0.10640826204749938,0.049636462463530595,2025-12
2025-12-05,3706986.1579831447,1256841.71676,2450144.4412231445,141.62684631347656,0.070457107915944,0.04023219173213347,3987966.7625363674,0.070457107915944,0.04023219173213355,2025-12
2025-12-08,4177290.5754025783,1256841.71676,2920448.858642578,168.81207275390625,0.0,0.12686975277925275,4177290.5754025783,0.0,0.12686975277925283,2025-12
2025-12-09,4217355.956261953,1256841.71676,2960514.239501953,171.12799072265625,0.0,0.009591236265749547,4217355.956261953,0.0,0.009591236265749536,2025-12
2025-12-10,4158305.8738644924,1256841.71676,2901464.157104492,167.71469116210938,0.014001683284471886,-0.014001683284471886,4217355.956261953,0.014001683284471886,-0.014001683284471933,2025-12
2025-12-11,3965006.566613516,1256841.71676,2708164.8498535156,156.54132080078125,0.05983592380286225,-0.04648511031040033,4217355.956261953,0.05983592380286225,-0.04648511031040037,2025-12
2025-12-12,3909284.9708493557,1256841.71676,2652443.2540893555,153.32041931152344,0.07304837168301437,-0.014053342618232175,4217355.956261953,0.07304837168301437,-0.014053342618232212,2025-12
2025-12-15,3840989.0922482815,1256841.71676,2584147.3754882812,149.3726806640625,0.08924237553504116,-0.017470171427854703,4217355.956261953,0.08924237553504116,-0.017470171427854675,2025-12
2025-12-16,3713766.672509512,1256841.71676,2456924.9557495117,142.01878356933594,0.11940876913761792,-0.03312230695877901,4217355.956261953,0.11940876913761792,-0.033122306958779046,2025-12
2025-12-17,3941583.6189206447,1256841.71676,2684741.9021606445,155.18739318847656,0.06538986516702255,0.06134390404693614,4217355.956261953,0.06538986516702255,0.061343904046936126,2025-12
2025-12-18,3954281.4430173244,1256841.71676,2697439.726257324,155.92137145996094,0.062379015661225945,0.0032215031632785284,4217355.956261953,0.062379015661225945,0.0032215031632785163,2025-12
2025-12-19,3895354.6379025783,1256841.71676,2638512.921142578,152.51519775390625,0.0763514680047971,-0.014902026060588608,4217355.956261953,0.0763514680047971,-0.014902026060588658,2025-12
2025-12-22,4005934.8884518947,1256841.71676,2749093.1716918945,158.90711975097656,0.050131188830797986,0.02838772353955876,4217355.956261953,0.050131188830797986,0.02838772353955865,2025-12
2025-12-23,3997058.660119375,1256841.71676,2740216.943359375,158.39404296875,0.0522358791686719,-0.002215769496930035,4217355.956261953,0.0522358791686719,-0.0022157694969300312,2025-12
2025-12-24,4006797.565453848,1256841.71676,2749955.8486938477,158.9569854736328,0.04992663483751406,0.0024365179905019947,4217355.956261953,0.04992663483751406,0.0024365179905019296,2025-12
2025-12-25,3904846.9886716213,1256841.71676,2648005.271911621,153.0638885498047,0.07410068555544072,-0.02544440419481953,4217355.956261953,0.07410068555544072,-0.025444404194819525,2025-12
2025-12-26,3886478.6735471096,1256841.71676,2629636.9567871094,152.00213623046875,0.0784560957496498,-0.0047039782039604025,4217355.956261953,0.0784560957496498,-0.004703978203960402,2025-12
2025-12-29,3879821.700280508,1256841.71676,2622979.983520508,151.61734008789062,0.08003456655828935,-0.0017128547010720836,4217355.956261953,0.08003456655828935,-0.0017128547010720752,2025-12
2025-12-30,3876123.117822012,1256841.71676,2619281.4010620117,151.40354919433594,0.08091155737833251,-0.0009532867085692853,4217355.956261953,0.08091155737833251,-0.000953286708569312,2025-12
2025-12-31,3759749.0989621487,1256841.71676,2502907.3822021484,144.67672729492188,0.10850562818164483,-0.030023303007272295,4217355.956261953,0.10850562818164483,-0.030023303007272295,2025-12
