date,nav,cash,position_value,close,peak,drawdown,daily_return,month
2025-08-15,2415189.0831304686,1180060.3844,1235128.6987304685,237.52474975585938,2487569.106323828,-0.02909668841334173,-0.0030413010691165976,2025-08
2025-08-18,2529077.3033453124,1180060.3844,1349016.9189453123,259.42633056640625,2529077.3033453124,0.0,0.047154991304956706,2025-08
2025-08-19,2609499.410278906,1180060.3844,1429439.025878906,274.8921203613281,2609499.410278906,0.0,0.03179899120806473,2025-08
2025-08-20,2569496.0045171874,1180060.3844,1389435.6201171873,267.19915771484375,2609499.410278906,-0.015329915616820601,-0.015329915616820622,2025-08
2025-08-21,2556161.324341406,1180060.3844,1376100.939941406,264.6347961425781,2609499.410278906,-0.02043996857305255,-0.005189609227778114,2025-08
2025-08-22,2627140.4991460936,1180060.3844,1447080.1147460935,278.2846374511719,2627140.4991460936,0.0,0.027767877609593095,2025-08
2025-08-25,2840388.900025,1180060.3844,1660328.5156249998,319.2939453125,2840388.900025,0.0,0.0811712966810183,2025-08
2025-08-26,2809257.7720953124,1180060.3844,1629197.3876953123,313.30718994140625,2840388.900025,-0.010960163916079766,-0.01096016391607979,2025-08
2025-08-27,2866850.374634375,1180060.3844,1686789.9902343748,324.3826904296875,2866850.374634375,0.0,0.020501003187082478,2025-08
2025-08-28,3042897.066528906,1180060.3844,1862836.682128906,358.2378234863281,3042897.066528906,0.0,0.06140770144552232,2025-08
2025-08-29,3021572.2740484374,1180060.3844,1841511.8896484373,354.13690185546875,3042897.066528906,-0.00700805581464981,-0.007008055814649805,2025-08
2025-09-01,3287121.077759375,1180060.3844,2107060.693359375,405.2039794921875,3287121.077759375,0.0,0.08788431307490896,2025-09
2025-09-02,3172454.634888281,1180060.3844,1992394.250488281,383.1527404785156,3287121.077759375,-0.03488354707921337,-0.03488354707921337,2025-09
2025-09-03,3391358.638794531,1180060.3844,2211298.2543945312,425.2496643066406,3391358.638794531,0.0,0.06900146072977931,2025-09
2025-09-04,3095353.1456304686,1180060.3844,1915292.7612304685,368.3255310058594,3391358.638794531,-0.08728227377016032,-0.08728227377016029,2025-09
2025-09-05,3291790.7310796874,1180060.3844,2111730.3466796875,406.10198974609375,3391358.638794531,-0.029359297650169924,0.06346209178959694,2025-09
2025-09-08,3099763.179810156,1180060.3844,1919702.795410156,369.1736145019531,3391358.638794531,-0.08598189989367315,-0.05833528524656473,2025-09
2025-09-09,3044246.1021734374,1180060.3844,1864185.7177734373,358.49725341796875,3391358.638794531,-0.10235205815462678,-0.01791010293893447,2025-09
2025-09-10,3177643.050415625,1180060.3844,1997582.6660156248,384.1505126953125,3391358.638794531,-0.0630176902950235,0.0438193706306953,2025-09
2025-09-11,3462856.4171148436,1180060.3844,2282796.0327148438,438.9992370605469,3462856.4171148436,0.0,0.08975626342358178,2025-09
2025-09-12,3370085.4210210936,1180060.3844,2190025.0366210938,421.1586608886719,3462856.4171148436,-0.026790309767173146,-0.026790309767173115,2025-09
2025-09-15,3297082.9307867186,1180060.3844,2117022.5463867188,407.1197204589844,3462856.4171148436,-0.047871891398328,-0.021661910935259376,2025-09
2025-09-16,3314724.1783453124,1180060.3844,2134663.7939453125,410.51226806640625,3462856.4171148436,-0.04277747065613276,0.005350562278512161,2025-09
2025-09-17,3287639.9986578124,1180060.3844,2107579.6142578125,405.30377197265625,3462856.4171148436,-0.05059881131398937,-0.008170869801004121,2025-09
2025-09-18,3304243.0870367186,1180060.3844,2124182.7026367188,408.4966735839844,3462856.4171148436,-0.04580418907760468,0.005050154027109066,2025-09
2025-09-19,3367024.263794531,1180060.3844,2186963.8793945312,420.5699768066406,3462856.4171148436,-0.02767430750136536,0.019000168905283443,2025-09
2025-09-22,3348864.5714117186,1180060.3844,2168804.1870117188,417.0777282714844,3462856.4171148436,-0.03291844418952255,-0.005393395164413506,2025-09
2025-09-23,3433385.67736875,1180060.3844,2253325.29296875,433.331787109375,3462856.4171148436,-0.008510528938028552,0.025238735145805435,2025-09
2025-09-24,3377401.412232031,1180060.3844,2197341.0278320312,422.5655822753906,3462856.4171148436,-0.02467760559186316,-0.01630584804548485,2025-09
2025-09-25,3434994.0147710936,1180060.3844,2254933.6303710938,433.6410827636719,3462856.4171148436,-0.008046074970374944,0.017052341581452968,2025-09
2025-09-26,3326553.8292242186,1180060.3844,2146493.4448242188,412.7872009277344,3462856.4171148436,-0.03936131663356362,-0.0315692502171947,2025-09
2025-09-29,3342378.853638281,1180060.3844,2162318.4692382812,415.8304748535156,3462856.4171148436,-0.03479138288296143,0.004757182726170761,2025-09
2025-09-30,3274564.6202398436,1180060.3844,2094504.2358398435,402.7892761230469,3462856.4171148436,-0.05437470521283684,-0.020289212075590868,2025-09
2025-10-09,3249296.663696875,1180060.3844,2069236.2792968748,397.9300537109375,3462856.4171148436,-0.061671558879100405,-0.007716432403498619,2025-10
2025-10-10,3203585.7628179686,1180060.3844,2023525.3784179685,389.1394958496094,3462856.4171148436,-0.0748719043086667,-0.014067937036841283,2025-10
2025-10-13,3138091.1217046874,1180060.3844,1958030.7373046873,376.54437255859375,3462856.4171148436,-0.09378537724089113,-0.020444166618992066,2025-10
